"subject","baseline","instruction","threshold","phs","phs_01","TCF"
187,32,"detect",28.8,0,0,0.064
188,32,"detect",30.5666666666667,0,0,0.028666666666666
189,32,"detect",30.58,0,0,0.0284
190,32,"detect",30.9533333333333,0,0,0.020933333333334
191,32,"detect",18.7566666666667,0,0,0.264866666666666
192,32,"detect",30.0433333333333,0,0,0.039133333333334
193,32,"detect",28.68,0,0,0.0664
194,32,"detect",28.49,0,0,0.0702
195,32,"detect",30.6266666666667,0,0,0.027466666666666
196,32,"detect",29.8833333333333,0,0,0.042333333333334
197,32,"detect",30.7633333333333,0,0,0.024733333333334
198,32,"detect",31.02,0,0,0.0196
199,32,"detect",30.3566666666667,0,0,0.032866666666666
200,32,"detect",31.2133333333333,0,0,0.015733333333334
201,32,"detect",30.98,0,0,0.0204
202,32,"detect",30.8166666666667,0,0,0.023666666666666
203,32,"detect",30.7833333333333,0,0,0.024333333333334
204,32,"detect",28.9033333333333,0,0,0.061933333333334
205,32,"detect",29.11,1,1,0.0578
206,32,"detect",30.2333333333333,0,0,0.035333333333334
207,32,"detect",30.9233333333333,0,0,0.021533333333334
208,32,"detect",30.46,0,0,0.0308
1,38,"detect",27.7766666666667,0,0,0.204466666666666
2,38,"detect",30.2866666666667,0,0,0.154266666666666
3,38,"detect",29.6766666666667,0,0,0.166466666666666
4,38,"detect",30.6666666666667,0,0,0.146666666666666
5,38,"detect",30.3333333333333,0,0,0.153333333333334
6,38,"detect",30.1766666666667,0,0,0.156466666666666
7,38,"detect",30.67,0,0,0.1466
8,38,"detect",29.6433333333333,0,0,0.167133333333334
9,38,"detect",29.21,0,0,0.1758
10,38,"detect",30.3666666666667,0,0,0.152666666666666
11,38,"detect",28.1366666666667,0,0,0.197266666666666
12,38,"detect",30.5766666666667,0,0,0.148466666666666
13,38,"detect",30.27,1,1,0.1546
14,38,"detect",30.89,0,0,0.1422
15,38,"detect",29.29,1,1,0.1742
16,38,"detect",30.46,0,0,0.1508
17,38,"detect",30.46,0,0,0.1508
18,38,"detect",25.4333333333333,0,0,0.251333333333334
19,38,"detect",31.1466666666667,1,1,0.137066666666666
20,38,"detect",29.92,0,0,0.1616
21,38,"detect",29.1766666666667,0,0,0.176466666666666
22,38,"detect",30.2266666666667,0,0,0.155466666666666
23,38,"detect",28.46,0,0,0.1908
24,38,"detect",30.3766666666667,0,0,0.152466666666666
25,38,"detect",30.57,0,0,0.1486
26,38,"detect",28.5466666666667,1,1,0.189066666666666
27,38,"detect",30.21,0,0,0.1558
28,38,"detect",30.48,0,0,0.1504
29,38,"detect",28.6166666666667,0,0,0.187666666666666
30,38,"detect",29.6366666666667,0,0,0.167266666666666
31,38,"detect",29.9266666666667,0,0,0.161466666666666
32,38,"detect",28.7333333333333,0,0,0.185333333333334
33,38,"detect",29.9166666666667,0,0,0.161666666666666
34,38,"detect",28.9766666666667,0,0,0.180466666666666
35,38,"detect",29.7866666666667,0,0,0.164266666666666
36,38,"detect",31.5766666666667,0,0,0.128466666666666
37,38,"detect",28.9633333333333,1,1,0.180733333333334
38,38,"detect",28.36,1,1,0.1928
39,38,"detect",27.3433333333333,0,0,0.213133333333334
40,38,"detect",30.3133333333333,0,0,0.153733333333334
41,38,"detect",30.0766666666667,1,1,0.158466666666666
42,38,"detect",30.66,0,0,0.1468
43,38,"detect",29.8666666666667,0,0,0.162666666666666
44,38,"detect",29.9466666666667,0,0,0.161066666666666
45,38,"detect",29.2466666666667,2,1,0.175066666666666
46,38,"detect",29.0666666666667,0,0,0.178666666666666
47,38,"detect",30.66,0,0,0.1468
48,38,"detect",29.0933333333333,0,0,0.178133333333334
49,38,"detect",30.25,0,0,0.155
50,38,"detect",29.54,0,0,0.1692
51,38,"detect",30.43,0,0,0.1514
52,38,"detect",29.45,0,0,0.171
53,38,"detect",29.97,0,0,0.1606
54,38,"detect",30.1733333333333,0,0,0.156533333333334
55,38,"detect",29.45,0,0,0.171
56,38,"detect",30.6466666666667,0,0,0.147066666666666
57,38,"detect",29.73,0,0,0.1654
58,38,"detect",28.6833333333333,0,0,0.186333333333334
59,38,"detect",30.0133333333333,0,0,0.159733333333334
60,38,"detect",30.9466666666667,0,0,0.141066666666666
61,38,"detect",29.93,0,0,0.1614
62,38,"detect",30.4766666666667,0,0,0.150466666666666
63,38,"detect",30.0533333333333,0,0,0.158933333333334
64,38,"detect",29.9366666666667,0,0,0.161266666666666
65,38,"detect",26.21,0,0,0.2358
66,38,"detect",29.7133333333333,1,1,0.165733333333334
67,38,"detect",29.9866666666667,0,0,0.160266666666666
68,38,"detect",30.6066666666667,0,0,0.147866666666666
69,38,"detect",26.8133333333333,1,1,0.223733333333334
70,38,"detect",29.1566666666667,0,0,0.176866666666666
71,38,"detect",30.25,0,0,0.155
72,38,"detect",29.3133333333333,0,0,0.173733333333334
73,38,"detect",25.77,3,1,0.2446
74,38,"detect",28.5533333333333,0,0,0.188933333333334
75,38,"detect",29.38,0,0,0.1724
76,38,"detect",29.73,0,0,0.1654
77,38,"detect",29.92,0,0,0.1616
78,38,"detect",26.5833333333333,1,1,0.228333333333334
79,38,"detect",29.1766666666667,0,0,0.176466666666666
80,38,"detect",29.12,0,0,0.1776
81,38,"detect",30.5833333333333,0,0,0.148333333333334
82,38,"detect",28.8,0,0,0.184
83,38,"detect",29.9466666666667,0,0,0.161066666666666
84,38,"detect",30.9733333333333,1,1,0.140533333333334
85,38,"detect",30.8266666666667,0,0,0.143466666666666
86,38,"detect",28.51,0,0,0.1898
87,38,"detect",29.87,0,0,0.1626
88,38,"detect",27.4066666666667,0,0,0.211866666666666
89,38,"detect",27.7733333333333,0,0,0.204533333333334
90,38,"detect",30.0833333333333,0,0,0.158333333333334
91,38,"detect",30.19,0,0,0.1562
92,38,"detect",30.2,0,0,0.156
93,38,"detect",27.3666666666667,0,0,0.212666666666666
94,38,"detect",30.3366666666667,0,0,0.153266666666666
95,38,"detect",28.87,1,1,0.1826
96,38,"detect",29.16,0,0,0.1768
97,38,"detect",29.28,0,0,0.1744
98,38,"detect",27.69,0,0,0.2062
99,38,"detect",29.23,0,0,0.1754
100,38,"detect",30.12,0,0,0.1576
101,38,"detect",29.3533333333333,3,1,0.172933333333334
102,38,"detect",28.8066666666667,2,1,0.183866666666666
103,38,"detect",29.8133333333333,0,0,0.163733333333334
104,38,"detect",29.82,0,0,0.1636
105,38,"detect",30.6366666666667,0,0,0.147266666666666
106,38,"detect",28.4433333333333,1,1,0.191133333333334
107,38,"detect",31.0233333333333,0,0,0.139533333333334
108,38,"detect",30.4833333333333,0,0,0.150333333333334
109,38,"detect",28.7633333333333,0,0,0.184733333333334
110,38,"detect",30.3566666666667,0,0,0.152866666666666
111,38,"detect",26.5033333333333,0,0,0.229933333333334
112,38,"detect",30.6166666666667,0,0,0.147666666666666
113,38,"detect",29.7166666666667,0,0,0.165666666666666
114,38,"detect",30.5966666666667,0,0,0.148066666666666
115,38,"detect",29.9466666666667,0,0,0.161066666666666
116,38,"detect",29.59,0,0,0.1682
117,38,"detect",26.5266666666667,1,1,0.229466666666666
118,38,"detect",28.2333333333333,1,1,0.195333333333334
119,38,"detect",28.5166666666667,0,0,0.189666666666666
120,38,"detect",29.8966666666667,0,0,0.162066666666666
121,38,"detect",28.65,0,0,0.187
122,38,"detect",28.29,1,1,0.1942
123,38,"detect",30,0,0,0.16
124,38,"detect",30.3066666666667,0,0,0.153866666666666
125,38,"detect",29.98,0,0,0.1604
126,38,"detect",27.9466666666667,0,0,0.201066666666666
127,38,"detect",30.5766666666667,0,0,0.148466666666666
128,38,"detect",29.44,0,0,0.1712
129,38,"detect",29.0933333333333,0,0,0.178133333333334
130,38,"detect",28.92,0,0,0.1816
131,38,"detect",28.4333333333333,0,0,0.191333333333334
132,38,"detect",30.64,0,0,0.1472
133,38,"detect",28.9833333333333,0,0,0.180333333333334
134,38,"detect",25.4033333333333,0,0,0.251933333333334
135,38,"detect",29.8033333333333,0,0,0.163933333333334
136,38,"detect",30.3233333333333,0,0,0.153533333333334
137,38,"detect",29.2333333333333,0,0,0.175333333333334
138,38,"detect",29.7933333333333,0,0,0.164133333333334
139,38,"detect",30.0966666666667,0,0,0.158066666666666
140,38,"detect",26.9966666666667,1,1,0.220066666666666
141,38,"detect",27.8933333333333,0,0,0.202133333333334
142,38,"detect",30.12,0,0,0.1576
143,38,"detect",30.1366666666667,0,0,0.157266666666666
144,38,"detect",28.7566666666667,0,0,0.184866666666666
145,38,"detect",30.4133333333333,0,0,0.151733333333334
146,38,"detect",29.4466666666667,0,0,0.171066666666666
147,38,"detect",28.6166666666667,0,0,0.187666666666666
148,38,"detect",30.9266666666667,0,0,0.141466666666666
149,38,"detect",29.5933333333333,0,0,0.168133333333334
150,38,"detect",29.6066666666667,0,0,0.167866666666666
151,38,"detect",28.4966666666667,2,1,0.190066666666666
152,38,"detect",31.4133333333333,0,0,0.131733333333334
153,38,"detect",30.8466666666667,1,1,0.143066666666666
154,38,"detect",22.1266666666667,0,0,0.317466666666666
155,38,"detect",29.7733333333333,0,0,0.164533333333334
156,38,"detect",30.7433333333333,0,0,0.145133333333334
157,38,"detect",29.5033333333333,0,0,0.169933333333334
158,38,"detect",30.6033333333333,0,0,0.147933333333334
159,38,"detect",29.78,0,0,0.1644
160,38,"detect",30.14,0,0,0.1572
161,38,"detect",29.7566666666667,0,0,0.164866666666666
162,38,"detect",29.8933333333333,0,0,0.162133333333334
163,38,"detect",30.8233333333333,0,0,0.143533333333334
164,38,"detect",29.79,0,0,0.1642
165,38,"detect",28.8666666666667,1,1,0.182666666666666
166,38,"detect",29.48,0,0,0.1704
167,38,"detect",27.6066666666667,2,1,0.207866666666666
168,38,"detect",30.1333333333333,0,0,0.157333333333334
169,38,"detect",28.9433333333333,0,0,0.181133333333334
170,38,"detect",29.84,0,0,0.1632
171,38,"detect",29.8366666666667,0,0,0.163266666666666
172,38,"detect",29.75,0,0,0.165
173,38,"detect",29.08,0,0,0.1784
174,38,"detect",29.6566666666667,0,0,0.166866666666666
175,38,"detect",31.0633333333333,0,0,0.138733333333334
176,38,"detect",26.4133333333333,0,0,0.231733333333334
177,38,"detect",28.2733333333333,0,0,0.194533333333334
178,38,"detect",25.6966666666667,0,0,0.246066666666666
179,38,"detect",29.5666666666667,0,0,0.168666666666666
180,38,"detect",28.67,0,0,0.1866
181,38,"detect",26.08,0,0,0.2384
182,38,"detect",29.75,0,0,0.165
183,38,"detect",28.9866666666667,0,0,0.180266666666666
184,38,"detect",29.6466666666667,0,0,0.167066666666666
185,38,"detect",28.03,0,0,0.1994
186,38,"detect",29.4333333333333,0,0,0.171333333333334
187,38,"detect",27.3166666666667,0,0,0.213666666666666
188,38,"detect",29.33,0,0,0.1734
189,38,"detect",30.4466666666667,0,0,0.151066666666666
190,38,"detect",29.2,0,0,0.176
191,38,"detect",28.2,1,1,0.196
192,38,"detect",29.52,0,0,0.1696
193,38,"detect",30.0933333333333,0,0,0.158133333333334
194,38,"detect",25.4566666666667,1,1,0.250866666666666
195,38,"detect",30.1033333333333,0,0,0.157933333333334
196,38,"detect",30.0266666666667,0,0,0.159466666666666
197,38,"detect",28.7566666666667,0,0,0.184866666666666
198,38,"detect",30.2533333333333,0,0,0.154933333333334
199,38,"detect",29.7833333333333,0,0,0.164333333333334
200,38,"detect",30.9,0,0,0.142
201,38,"detect",29.9366666666667,0,0,0.161266666666666
202,38,"detect",30.46,0,0,0.1508
203,38,"detect",29.8133333333333,1,1,0.163733333333334
204,38,"detect",28.5933333333333,0,0,0.188133333333334
205,38,"detect",30.3466666666667,1,1,0.153066666666666
206,38,"detect",28.5566666666667,0,0,0.188866666666666
207,38,"detect",30.18,0,0,0.1564
208,38,"detect",30.1966666666667,0,0,0.156066666666666
1,44,"detect",27.51,1,1,0.3298
2,44,"detect",28.6366666666667,1,1,0.307266666666666
3,44,"detect",29.1066666666667,0,0,0.297866666666666
4,44,"detect",30.1266666666667,0,0,0.277466666666666
5,44,"detect",29.9633333333333,0,0,0.280733333333334
6,44,"detect",26.8566666666667,0,0,0.342866666666666
7,44,"detect",18.15,2,1,0.517
8,44,"detect",29.0666666666667,0,0,0.298666666666666
9,44,"detect",29.0266666666667,1,1,0.299466666666666
10,44,"detect",28.43,3,1,0.3114
11,44,"detect",28.1733333333333,0,0,0.316533333333334
12,44,"detect",30.3233333333333,0,0,0.273533333333334
13,44,"detect",30.48,3,1,0.2704
14,44,"detect",31.0733333333333,1,1,0.258533333333334
15,44,"detect",28.0633333333333,1,1,0.318733333333334
16,44,"detect",30.0633333333333,0,0,0.278733333333334
17,44,"detect",30.45,0,0,0.271
18,44,"detect",24.1466666666667,0,0,0.397066666666666
19,44,"detect",31.12,3,1,0.2576
20,44,"detect",28.8433333333333,0,0,0.303133333333334
21,44,"detect",29.4566666666667,0,0,0.290866666666666
22,44,"detect",29.4766666666667,0,0,0.290466666666666
23,44,"detect",27.5566666666667,1,1,0.328866666666666
24,44,"detect",29.6133333333333,0,0,0.287733333333334
25,44,"detect",30.2966666666667,0,0,0.274066666666666
26,44,"detect",27.3233333333333,3,1,0.333533333333334
27,44,"detect",29.74,0,0,0.2852
28,44,"detect",30.3466666666667,0,0,0.273066666666666
29,44,"detect",25.9566666666667,0,0,0.360866666666666
30,44,"detect",30.2966666666667,0,0,0.274066666666666
31,44,"detect",28.1366666666667,0,0,0.317266666666666
32,44,"detect",29.8933333333333,0,0,0.282133333333334
33,44,"detect",30.19,0,0,0.2762
34,44,"detect",30.4933333333333,0,0,0.270133333333334
35,44,"detect",29.6433333333333,0,0,0.287133333333334
36,44,"detect",30.5866666666667,0,0,0.268266666666666
37,44,"detect",27.9166666666667,0,0,0.321666666666666
38,44,"detect",28.4366666666667,1,1,0.311266666666666
39,44,"detect",29.58,0,0,0.2884
40,44,"detect",30.36,0,0,0.2728
41,44,"detect",30.3633333333333,2,1,0.272733333333334
42,44,"detect",29.8133333333333,0,0,0.283733333333334
43,44,"detect",29.7866666666667,0,0,0.284266666666666
44,44,"detect",29.2766666666667,2,1,0.294466666666666
45,44,"detect",29.8833333333333,0,0,0.282333333333334
46,44,"detect",28.65,0,0,0.307
47,44,"detect",30.3566666666667,0,0,0.272866666666666
48,44,"detect",29.8033333333333,0,0,0.283933333333334
49,44,"detect",30.6566666666667,0,0,0.266866666666666
50,44,"detect",27.6066666666667,0,0,0.327866666666666
51,44,"detect",30.4333333333333,0,0,0.271333333333334
52,44,"detect",29.4266666666667,0,0,0.291466666666666
53,44,"detect",27.3,1,1,0.334
54,44,"detect",29.66,0,0,0.2868
55,44,"detect",26.8566666666667,1,1,0.342866666666666
56,44,"detect",30.2466666666667,0,0,0.275066666666666
57,44,"detect",28.22,0,0,0.3156
58,44,"detect",28.69,0,0,0.3062
59,44,"detect",28.99,0,0,0.3002
60,44,"detect",30.5766666666667,0,0,0.268466666666666
61,44,"detect",30.49,0,0,0.2702
62,44,"detect",28.31,1,1,0.3138
63,44,"detect",28.8433333333333,0,0,0.303133333333334
64,44,"detect",28.8433333333333,1,1,0.303133333333334
65,44,"detect",27.8566666666667,0,0,0.322866666666666
66,44,"detect",30.0366666666667,0,0,0.279266666666666
67,44,"detect",27.9266666666667,2,1,0.321466666666666
68,44,"detect",25.23,3,1,0.3754
69,44,"detect",28.71,0,0,0.3058
70,44,"detect",29.5466666666667,0,0,0.289066666666666
71,44,"detect",28.8033333333333,0,0,0.303933333333334
72,44,"detect",29.7766666666667,0,0,0.284466666666666
73,44,"detect",29.2433333333333,1,1,0.295133333333334
74,44,"detect",27.9266666666667,0,0,0.321466666666666
75,44,"detect",28.8233333333333,0,0,0.303533333333334
76,44,"detect",25.5133333333333,1,1,0.369733333333334
77,44,"detect",29.74,0,0,0.2852
78,44,"detect",28.1533333333333,2,1,0.316933333333334
79,44,"detect",25.39,1,1,0.3722
80,44,"detect",29.06,0,0,0.2988
81,44,"detect",27.31,0,0,0.3338
82,44,"detect",28.82,0,0,0.3036
83,44,"detect",30.3233333333333,0,0,0.273533333333334
84,44,"detect",28.7966666666667,1,1,0.304066666666666
85,44,"detect",29.3033333333333,0,0,0.293933333333334
86,44,"detect",27.9366666666667,1,1,0.321266666666666
87,44,"detect",29.5833333333333,0,0,0.288333333333334
88,44,"detect",25.1966666666667,1,1,0.376066666666666
89,44,"detect",28.06,0,0,0.3188
90,44,"detect",29.9266666666667,0,0,0.281466666666666
91,44,"detect",27.9466666666667,1,1,0.321066666666666
92,44,"detect",28.9333333333333,0,0,0.301333333333334
93,44,"detect",28.3233333333333,0,0,0.313533333333334
94,44,"detect",30.6066666666667,0,0,0.267866666666666
95,44,"detect",29.7733333333333,0,0,0.284533333333334
96,44,"detect",27.74,0,0,0.3252
97,44,"detect",30.39,0,0,0.2722
98,44,"detect",26.2933333333333,0,0,0.354133333333334
99,44,"detect",27.57,1,1,0.3286
100,44,"detect",28.9,0,0,0.302
101,44,"detect",27.6033333333333,2,1,0.327933333333334
102,44,"detect",29.2966666666667,1,1,0.294066666666666
103,44,"detect",28.85,0,0,0.303
104,44,"detect",30.37,0,0,0.2726
105,44,"detect",30.2233333333333,0,0,0.275533333333334
106,44,"detect",27.99,0,0,0.3202
107,44,"detect",30.55,1,1,0.269
108,44,"detect",28.48,0,0,0.3104
109,44,"detect",29.4833333333333,0,0,0.290333333333334
110,44,"detect",30.26,0,0,0.2748
111,44,"detect",28.1733333333333,0,0,0.316533333333334
112,44,"detect",29.7,0,0,0.286
113,44,"detect",29.68,2,1,0.2864
114,44,"detect",30.2566666666667,0,0,0.274866666666666
115,44,"detect",29.5433333333333,0,0,0.289133333333334
116,44,"detect",30.2133333333333,0,0,0.275733333333334
117,44,"detect",28.6266666666667,0,0,0.307466666666666
118,44,"detect",28.9033333333333,2,1,0.301933333333334
119,44,"detect",27.2933333333333,2,1,0.334133333333334
120,44,"detect",28.8,0,0,0.304
121,44,"detect",26.1533333333333,0,0,0.356933333333334
122,44,"detect",28.6833333333333,0,0,0.306333333333334
123,44,"detect",29.7666666666667,0,0,0.284666666666666
124,44,"detect",30.2166666666667,0,0,0.275666666666666
125,44,"detect",28.8333333333333,0,0,0.303333333333334
126,44,"detect",27.6766666666667,0,0,0.326466666666666
